file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,75,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,23
style.css,76,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,16
style.css,77,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,18
style.css,78,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,0
style.css,79,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,6
style.css,80,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,13
style.css,81,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,23
style.css,82,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,8
style.css,83,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,18
style.css,84,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,0
style.css,85,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,12
style.css,86,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,12
style.css,87,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,12
style.css,88,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,20
style.css,89,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,17
style.css,90,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,0
style.css,91,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,22
style.css,92,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,16
style.css,93,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,0
style.css,94,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,8
style.css,95,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,13
style.css,96,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,23
style.css,97,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,8
style.css,98,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,18
style.css,99,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,0
style.css,100,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,15
style.css,101,css,606cab62,Shriya Pattapu,2025-04-25,23:13:22,-07:00,2025-04-25T23:13:22-07:00,0,12
style.css,102,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,12
style.css,103,css,a6d2faa0,Shriya Pattapu,2025-05-03,10:22:24,-07:00,2025-05-03T10:22:24-07:00,0,18
style.css,104,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,17
style.css,105,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,0
style.css,106,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,17
style.css,107,css,96db125e,Shriya Pattapu,2025-04-10,23:19:48,-07:00,2025-04-10T23:19:48-07:00,0,16
style.css,108,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,0
style.css,109,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,14
style.css,110,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,13
style.css,111,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,59
style.css,112,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,9
style.css,113,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,16
style.css,114,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,18
style.css,115,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,0
style.css,116,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,0
style.css,117,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,14
style.css,118,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,11
style.css,119,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,0
style.css,120,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,0
style.css,121,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,14
style.css,122,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,9
style.css,123,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,11
style.css,124,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,15
style.css,125,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,0
style.css,126,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,10
style.css,127,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,13
style.css,128,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,59
style.css,129,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,9
style.css,130,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,21
style.css,131,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,0
